chemical,chemical_code
Other vitamin B compound preparations,090602700
Vitamin B compound,0906027G0
Other vitamin B preparations,090602800
Other vitamin C (Ascorbic acid) preparations,090603100
Ascorbic acid,0906031C0
Other vitamin C preparations,090603300
Alfacalcidol,0906040B0
Calcitriol,0906040C0
Colecalciferol,0906040G0
Dihydrotachysterol,0906040K0
Ergocalciferol,0906040N0
Paricalcitol,0906040P0
Other vitamin D preparations,090604800
Other vitamin E preparations 0906050,090605000
Vitamin E,0906050P0
Tocopheryl acetate,0906050T0
Tocofersolan,0906050U0
Menadiol sodium phosphate,0906060L0
Phytomenadione,0906060Q0
Other multivitamin preparations,090607000
Vitamins caps,0906070T0
Other bitter and tonic preparations,090700000
Gentian,0907000H0
Agalsidase alfa,0908010AA
Laronidase,0908010AB
Miglustat,0908010AC
Carglumic acid,0908010AD
Agalsidase beta,0908010AE
Nitisinone,0908010AF
Galsulfase,0908010AG
Alglucosidase alfa,0908010AH
Cystine,0908010AI
Zinc acetate,0908010AJ
Sucrase,0908010AL
Asfotase alfa,0908010AM
Sebelipase alfa,0908010AN
Elosulfase alfa,0908010AP
Migalastat,0908010AQ
Eliglustat,0908010AR
Trientine tetrahydrochloride,0908010AS
Levocarnitine,0908010C0
Cholesterol,0908010D0
Mercaptamine,0908010E0
Imiglucerase,0908010I0
Sodium benzoate,0908010N0
Sodium phenylbutyrate,0908010P0
Trientine dihydrochloride,0908010S0
Betaine anhydrous,0908010T0
Ademetionine,0908010V0
Sacrosidase,0908010Y0
Levocarnitine,0908010Z0
Haem arginate,0908020A0
Other food preparations,090900000
Other compound vitamin/mineral formulation preparations,091000000
Other amino acidandnutritional agent preparations,091101000
Taurine,0911010T0
Other enzyme preparations 0911020,091102000
Other digestive aid preparations,091104000
Other health supplement preparations,091200000
Tenoxicam,100101040
Acemetacin,100101050
Naproxen sodium,100101070
Aceclofenac,100101080
Meloxicam,1001010AA
Ibuprofen lysine,1001010AD
Dexketoprofen,1001010AE
Rofecoxib,1001010AF
Diclofenac potassium,1001010AG
Celecoxib,1001010AH
Lornoxicam,1001010AI
Etoricoxib,1001010AJ
Valdecoxib,1001010AL
Dexibuprofen,1001010AM
Lumiracoxib,1001010AN
Ibuprofen sodium dihydrate,1001010AP
Azapropazone,1001010B0
Diclofenac sodium,1001010C0
Diflunisal,1001010D0
Etodolac,1001010E0
Fenbufen,1001010F0
Fenoprofen,1001010G0
Benorilate,1001010H0
Flurbiprofen,1001010I0
Ibuprofen,1001010J0
Indometacin,1001010K0
Ketoprofen,1001010L0
Mefenamic acid,1001010N0
Naproxen,1001010P0
Phenylbutazone,1001010Q0
Piroxicam,1001010R0
Sulindac,1001010S0
Tiaprofenic acid,1001010T0
Nabumetone,1001010X0
Hydrocortisone acetate,1001022G0
Methylprednisolone acetate,1001022K0
Prednisolone acetate,1001022N0
Triamcinolone acetonide,1001022U0
Triamcinolone hexacetonide,1001022Y0
Auranofin,1001030A0
Apremilast,1001030AA
Tofacitinib,1001030AB
Baricitinib,1001030AC
Sarilumab,1001030AD
Upadacitinib,1001030AE
Secukinumab,1001030AF
Filgotinib,1001030AG
Hydroxychloroquine sulfate,1001030C0
Etanercept,1001030D0
Penicillamine,1001030F0
Sodium aurothiomalate,1001030J0
Leflunomide,1001030L0
Tiopronin,1001030Q0
Anakinra,1001030R0
Adalimumab,1001030S0
Infliximab,1001030T0
Methotrexate,1001030U0
Abatacept,1001030V0
Tocilizumab,1001030W0
Golimumab,1001030X0
Certolizumab pegol,1001030Y0
Belimumab,1001030Z0
Benzbromarone,1001040A0
Allopurinol,1001040C0
Colchicine,1001040G0
Probenecid,1001040K0
Sulfinpyrazone,1001040P0
Rasburicase,1001040U0
Febuxostat,1001040V0
Glucosamine hydrochloride (Rheumatic),1001050A0
Glucosamine sulfate (Rheumatic),1001050B0
Other neuromuscularar transmisson preparations,100201000
Edrophonium chloride,1002010H0
Neostigmine bromide,1002010M0
Neostigmine metilsulfate,1002010N0
Pyridostigmine bromide,1002010Q0
Fampridine,1002010U0
Baclofen,1002020C0
Carisoprodol,1002020G0
Dantrolene sodium,1002020J0
Guaifenesin,1002020L0
Methocarbamol,1002020S0
Tizanidine hydrochloride,1002020T0
Dronabinol/cannabidiol,1002020Y0
Pridinol mesilate,1002020Z0
Hyaluronidase,1003010P0
Hyaluronic acid sodium,1003010U0
Serrapeptase,1003010V0
Other rubefacient and topical antirheumatic preparations,100302000
Ketoprofen,100302010
Dimethyl sulfoxide,100302040
Capsaicin,1003020AA
Arnica montana,1003020AD
Methyl salicylate/levomenthol,1003020AE
Diclofenac diethyl,1003020AF
Benzydamine hydrochloride,1003020F0
Capsicum,1003020H0
Diethylamine salicylate,1003020I0
Kaolin heavy,1003020L0
Felbinac,1003020M0
Methyl salicylate,1003020N0
Ibuprofen,1003020P0
Piroxicam,1003020R0
Soft soap,1003020S0
Nicotinates,1003020T0
Diclofenac sodium,1003020U0
Turpentine oil,1003020V0
Heparinoid,1003020W0
Freeze sprays and gels,1003020Y0
Chlorhexidine gluconate,110301020
Levofloxacin,1103010AG
Azithromycin,1103010AI
Polihexanide,1103010AJ
Gatifloxacin,1103010AK
Hydrocort sodiumphos,1103010AL
Ciprofloxacin,1103010B0
Chloramphenicol,1103010C0
Dibrompropamidine isetionate,1103010E0
Framycetin sulfate,1103010F0
Gentamicin sulfate,1103010G0
Fusidic acid,1103010H0
Erythromycin,1103010I0
Neomycin sulfate,1103010N0
Natamycin,1103010P0
Polymyxin B sulphate,1103010Q0
Propamidine isetionate,1103010S0
Cefuroxime sodium,1103010T0
Tobramycin,1103010X0
Ofloxacin,1103010Y0
Vancomycin hydrochloride,1103010Z0
Amphoteracin,1103020A0
Clotrimazole,1103020C0
Econazole nitrate,1103020E0
Miconazole,1103020M0
Aciclovir,1103030C0
Trifluridine (Antivirals),1103030T0
Ganciclovir,1103030W0
Betamethasone sodium phosphate,1104010D0
Clobetasone butyrate,1104010F0
Dexamethasone,1104010I0
Fluorometholone,1104010K0
Hydrocortisone acetate,1104010M0
Prednisolone acetate,1104010R0
Prednisolone sodium phosphate,1104010S0
Rimexolone,1104010V0
Loteprednol etabonate,1104010W0
Other anti-inflammatory preparations,110402000
Hamamalis,1104020AB
Epinastine hydrochloride,1104020AC
Heparin sodium (Eye),1104020AD
Ciclosporin (Eye Anti Inflammatory),1104020AE
Ascorbic acid (Eye),1104020AF
Antazoline,1104020B0
Flurbiprofen sodium,1104020G0
Lodoxamide trometamol,1104020M0
Nedocromil sodium,1104020N0
Levocabastine,1104020P0
Naphazoline hydrochloride,1104020R0
Sodium cromoglicate,1104020T0
Azelastine hydrochloride,1104020W0
Emedastine,1104020X0
Ketotifen fumarate,1104020Y0
Olopatadine,1104020Z0
Atropine sulfate,1105000B0
Cyclopentolate hydrochloride,1105000E0
Homatropine hydrobromide,1105000H0
Hyoscine hydrobromide,1105000J0
Phenylephrine hydrochloride,1105000P0
Tropicamide,1105000S0
Phenylephrine hydrochloride and tropicamide,1105000T0
Brimonidine tartrate,1106000AA
Dorzolamide and timolol,1106000AB
Brinzolamide,1106000AC
Latanoprost and timolol,1106000AD
Travoprost,1106000AE
Bimatoprost,1106000AF
Timolol and brimonidine,1106000AG
Timolol and travoprost,1106000AH
Timolol and bimatoprost,1106000AI
Brinzolamide and timolol,1106000AJ
Tafluprost,1106000AK
Brinzolamide/brimonidine,1106000AL
Tafluprost and timolol,1106000AM
Acetazolamide,1106000B0
Acetazolamide sodium,1106000C0
Adrenaline,1106000F0
Betaxolol,1106000I0
Carbachol,1106000J0
Carteolol hydrochloride,1106000K0
Latanoprost,1106000L0
Dorzolamide,1106000P0
Dipivefrine hydrochloride,1106000Q0
Guanethidine monosulfate,1106000S0
Levobunolol hydrochloride,1106000T0
Metipranolol,1106000U0
Pilocarpine hydrochloride,1106000X0
Pilocarpine nitrate,1106000Y0
Timolol,1106000Z0
Tetracaine hydrochloride,1107000C0
Cocaine (Eye),1107000F0
Oxybuprocaine hydrochloride,1107000M0
Lidocaine hydrochloride,1107000N0
Proxymetacaine hydrochloride,1107000Q0
Other eye tear/lubricant/astringent preparations,110801000
Mercaptamine hydrochloride,1108010A0
Ciclosporin,1108010AA
Carbomer 940/980,1108010B0
Acetylcysteine,1108010C0
Carmellose sodium,1108010D0
Hypromellose,1108010F0
Hyetellose,1108010H0
Sodium chloride,1108010K0
Liquid paraffin,1108010L0
Paraffin soft yellow,1108010N0
Polyvinyl alcohol,1108010Q0
Hypromellose with phenylephrine,1108010S0
Povidone K 25,1108010T0
Zinc sulfate,1108010Y0
Carbomer 974P,1108010Z0
Sodium citrate,110802050
Ketorolac trometamol,110802070
Diclofenac sodium,1108020A0
Verteporfin,1108020AB
Pegaptanib sodium,1108020AC
Ranibizumab,1108020AD
Nepafenac,1108020AF
Bromfenac,1108020AG
Povidone iodine,1108020AH
Acetylcholine chloride,1108020C0
Disodium edetate,1108020G0
Apraclonidine,1108020J0
Fluorescein sodium,1108020K0
Glycerol,1108020L0
Rose bengal,1108020Q0
Moxifloxacin hydrochloride,1108020U0
Carbomer,1108030AA
Idebenone,1108030AB
Other otitis external preparations,120101000
Other aural preparations,120101020
Dexamethasone sodium metasulphobenzoate,120101040
Dexamethasone,120101050
Ofloxacin,1201010AB
Ciprofloxacin,1201010AC
Colistimeth sodium,1201010AD
Ciprofloxain/dexameth,1201010AE
Ciprofloxacin/fluocinolone,1201010AF
Phenazone/lidocaine,1201010AG
Acetic acid,1201010B0
Aluminium acetate,1201010C0
Betamethasone sodium phosphate,1201010E0
Flumetasone pivalate,1201010F0
Hydrocortisone acetate,1201010G0
Chloramphenicol,1201010H0
Hydrocortisone,1201010Q0
Hydrogen peroxide,1201010S0
Prednisolone sodium phosphate,1201010U0
Triamcinolone acetonide,1201010Z0
Docusate sodium,1201030F0
Oils for the ear,1201030H0
Urea hydrogen peroxide,1201030N0
Azelastine hydrochloride,1202010A0
Beclometasone dipropionate,1202010C0
Budesonide,1202010I0
Levocabastine,1202010K0
Flunisolide,1202010L0
Fluticasone propionate (Nasal),1202010M0
Sodium cromoglicate,1202010P0
Triamcinolone acetonide,1202010T0
Mometasone furoate,1202010U0
Dexamethasone isonicotinate,1202010V0
Fluticasone furoate,1202010W0
Fluticasone propionate/azelastine hydrochloride (Nasal),1202010Y0
Mometasone furoate/olopatadine hydrochloride,1202010Z0
Other topical nasal decongestant preparations,120202000
Ephedrine hydrochloride,1202020C0
Glucose/glycerol,1202020F0
Oxymetazoline hydrochloride,1202020G0
Ipratropium bromide,1202020I0
Phenylephrine hydrochloride,1202020K0
Sodium chloride,1202020L0
Xylometazoline hydrochloride,1202020P0
Xylometazoline hydrochloride/ipratropium bromide,1202020Q0
Other nasal infection preparations,120203000
Fusafungine,1202030D0
Mupirocin,1202030R0
Neomycin sulfate,1202030S0
Other oral ulceration and inflammation preparations,120301000
Benzocaine,1203010C0
Benzydamine hydrochloride,1203010E0
Flubiprofen,1203010F0
Carbenoxolone sodium,1203010G0
Choline salicylate,1203010K0
Hydrocortisone (Sodium succinate),1203010M0
Lidocaine hydrochloride,1203010Q0
Salicylic acid,1203010S0
Triamcinolone acetonide,1203010T0
Doxycycline hyclate,1203010U0
Lidocaine/cetylpyridinium,1203010V0
Amphotericin,1203020C0
Miconazole,1203020H0
Metronidazole,1203020J0
Nystatin,1203020N0
Minocycline hydrochloride,1203020P0
Other lozenge and spray preparations,120303000
Amylmetacresol,1203030A0
Dichlorobenzyl alcohol/amylmetacresol,1203030AA
Benzocaine,1203030B0
Cetylpyridinium chloride,1203030D0
Dequalinium chloride,1203030F0
Tetracaine hydrochloride,1203030G0
Hexylresorcinol,1203030J0
Lidocaine hydrochloride,1203030M0
Menthol,1203030N0
Benzalkonium chloride,1203030T0
Thymol,1203030V0
Hexylresorcinol and benzalkonium chloride,1203030X0
Benzydamine hydrochloride,1203030Y0
Dichlorobenzyl alcohol,1203030Z0
"Other mouth wash, gargle and dentifrice preparations",120304000
Diclofenac sod,1203040AA
Cetylpyridinium chloride,1203040C0
Chlorhexidine gluconate,1203040E0
Hexetidine,1203040G0
Hydrogen peroxide,1203040I0
Phenol,1203040K0
Povidone-iodine,1203040M0
Sodium benzoate,1203040N0
Sodium chloride,1203040P0
Thymol,1203040U0
Other treatment of dry mouth preparations,120305000
Artificial saliva,1203050A0
Pilocarpine hydrochloride,1203050P0
Other vehicle and emulsifying agent preparations,130101000
Cetomacrogol,1301010D0
Emulsifying wax,1301010H0
Wool fat hydrous,1301010I0
Paraffin hard,1301010P0
Wool alcohols,1301010V0
Wool fat,1301010W0
Other emollient preparations,130201000
Dexpanthenol,1302010E0
Emulsifying wax,1302010F0
Fuller's earth,1302010H0
Lactic acid,1302010K0
Paraffin soft yellow,1302010M0
Paraffin soft white,1302010N0
Urea,1302010U0
Vitamin E,1302010W0
Wool alcohols,1302010Y0
Chlohexidine gluconate (Emollient),1302010Z0
Emollient bath and shower preparations,130201100
Light liquid paraffin,1302011L0
Liquid paraffin,1302011M0
Other barrier preparations,130202000
Benzalkonium chloride,1302020B0
Dimeticone (Barrier),1302020D0
Zinc oxide,1302020E0
Cod liver oil,1302020F0
Zinc paste,1302020G0
Other dusting powder preparations,130203000
Talc purified,1302030T0
Other topical anaesthetic and antipruritic preparations,130300000
Tetracaine hydrochloride,1303000A0
Menthol,1303000AA
Aluminium sulfate,1303000AB
Benzocaine,1303000B0
Antazoline hydrochloride,1303000C0
Calamine,1303000D0
Colestyramine,1303000E0
Doxepin hydrochloride,1303000F0
Crotamiton,1303000I0
Diphenhydramine hydrochloride,1303000J0
Mepyramine maleate,1303000M0
Lidocaine,1303000N0
Lidocaine hydrochloride,1303000Q0
Other topical corticosteroid preparations,130400000
Fluprednidene acetate,1304000AC
Alclometasone dipropionate,1304000B0
Beclometasone dipropionate,1304000C0
Betamethasone esters,1304000D0
Betamethasone valerate,1304000F0
Clobetasol propionate,1304000G0
Clobetasone butyrate,1304000H0
Desoximetasone,1304000J0
Diflucortolone valerate,1304000L0
Fluocinolone acetonide,1304000N0
Fluocinonide,1304000P0
Fluocortolone,1304000R0
Fluticasone propionate (Topical),1304000S0
Fludroxycortide,1304000T0
Halcinonide,1304000U0
Hydrocortisone,1304000V0
Hydrocortisone butyrate,1304000W0
Hydrocortisone acetate,1304000X0
Mometasone furoate,1304000Y0
Triamcinolone acetonide,1304000Z0
Other eczema preparations,130501000
Zinc paste and calamine,1305010AC
"Zinc paste, calamine and clioquinol",1305010AD
Zinc paste and ichthammol,1305010AE
Alitretinoin,1305010AF
Gamolenic acid,1305010I0
Ichthammol,1305010J0
Other psoriasis preparations,130502000
Acitretin,1305020A0
Tars,1305020C0
Calcipotriol,1305020D0
Dithranol,1305020F0
Coal tar and corticosteroid preparations,1305020I0
Methoxsalen,1305020L0
Coal tar bath preparations,1305020P0
Tacalcitol,1305020R0
Salicylic acid,1305020S0
Tazarotene,1305020T0
Cocois,1305020V0
Calcitriol,1305020W0
Fumaric acid,1305020X0
Cholesterol/simvastatin,1305020Z0
Efalizumab,1305030A0
Pimecrolimus,1305030B0
Tacrolimus,1305030C0
Ustekinumab (Psoriasis),1305030D0
Brodalumab (Psoriasis),1305030E0
Guselkumab (Psoriasis),1305030F0
Ixekizumab,1305030G0
Tildrakizumab,1305030H0
Risankizumab,1305030I0
Tralokinumab,1305030J0
Aluminium oxide,1306010A0
Clindamycin/hydrocortisone,1306010AA
Clindamycin/tretinoin,1306010AB
Azelaic acid,1306010B0
Benzoyl peroxide,1306010C0
Clindamycin phosphate,1306010F0
Corticosteroids,1306010G0
Adapalene,1306010H0
Erythromycin,1306010I0
Isotretinoin,1306010M0
Nicotinamide,1306010N0
Salicylic acid,1306010Q0
Resorcinol,1306010S0
Sulfur,1306010T0
Tretinoin,1306010V0
Tetracycline hydrochloride,1306010W0
Benzoyl peroxide and clindamycin phosphate,1306010Y0
Adapalene and benzoyl peroxide,1306010Z0
Co-cyprindiol (Cyprote acetate/ethinylestradiol),1306020C0
Cyproterone acetate,1306020D0
Isotretinoin,1306020J0
Brimonidine tart (Rosacea),1306030A0
Ivermectin,1306030B0
Formaldehyde,1307000C0
Glutaraldehyde,1307000F0
Podophyllum resin,1307000J0
Podophyllotoxin,1307000K0
Salicylic acid,1307000M0
Silver nitrate,1307000Q0
Trichloroacetic acid,1307000T0
Imiquimod,1307000V0
Camellia sinensis extract,1307000W0
Other sunscreening preparations,130801000
Tirbanibulin,1308010AA
Padimate O,1308010P0
Titanium dioxide,1308010U0
Tretinoin,1308010V0
Diclofenac sodium,1308010W0
Methyl-5-aminolevulinate,1308010X0
Fluorouracil (Sunscreen),1308010Y0
Ingenol mebutate,1308010Z0
Other camouflage preparations,130802000
Other shampoo and scalp preparations,130900000
Coal tar,1309000C0
Alkyl sulfate,1309000F0
Arachis oil,1309000G0
Minoxidil,1309000H0
Ketoconazole,1309000I0
Benzalkonium chloride,1309000L0
Cetrimide,1309000P0
Povidone-iodine,1309000Q0
Sulfur,1309000R0
Selenium sulfide,1309000S0
Dithranol,1309000V0
Finasteride,1309000W0
Eflornithine monohydrate chloride,1309000X0
Other topical only antibacterial preparations,131001100
Retapamulin,1310011AA
Framycetin sulfate,1310011G0
Mafenide,1310011K0
Mupirocin,1310011M0
Neomycin sulfate,1310011P0
Potassium hydroxyquinoline sulphate,1310011T0
Polymyxins,1310011W0
Silver sulfadiazine,1310011Y0
Fusidic acid,1310012F0
Gentamicin sulfate,1310012I0
Metronidazole,1310012K0
Sodium fusidate,1310012Q0
Terbinafine hydrochloride,131002030
Amorolfine hydrochloride,1310020A0
Flutrimazole,1310020AA
Benzoic acid,1310020D0
Bifonazole,1310020E0
Clotrimazole,1310020H0
Econazole nitrate,1310020J0
Halquinol,1310020K0
Ketoconazole,1310020L0
Miconazole nitrate,1310020N0
Griseofulvin,1310020Q0
Sodium thiosulfate,1310020S0
Tioconazole,1310020T0
Nystatin,1310020U0
Salicylic acid,1310020V0
Sulconazole nitrate,1310020X0
Tolnaftate,1310020Y0
Undecenoates,1310020Z0
Other antiviral preparations,131003000
Aciclovir,1310030C0
Idoxuridine in dimethyl sulfoxide,1310030I0
Penciclovir,1310030L0
Other parasiticidal preparations,131004000
Benzyl benzoate,1310040C0
Carbaryl,1310040F0
Malathion,1310040M0
Permethrin,1310040Q0
Phenothrin,1310040S0
Dimeticone (Parasiticidal),1310040V0
Other minor cut and abrasion preparations,131005000
Aluminium sulfate,1310050A0
Cetrimide,1310050D0
Hydrogen peroxide,1310050H0
Chlorhexidine gluconate,1310050J0
Dibrompropamidine isetionate,1310050K0
Magnesium sulfate,1310050M0
Phenol,1310050P0
Polynoxylin,1310050R0
Povidone-iodine,1310050S0
Proflavine hemisulphate,1310050T0
Chlorhex hydrochloride,1310050W0
Other alcohol and saline preparations,131101000
Alcohol,1311010A0
Isopropyl alcohol,1311010I0
Phenoxyethanol,1311010P0
Sodium chloride,1311010S0
Solvent ether,1311010U0
Chlorhexidine acetate,1311020G0
Chlorhexidine gluconate,1311020L0
Alkyl sulphate,1311030A0
Benzalkonium chloride,1311030D0
Soft soap,1311030S0
Iodine,1311040I0
Iodine compounds,1311040K0
Iodoform,1311040L0
Sodium hypochlorite,1311040T0
Chloroxylenol,1311050E0
Hexachlorophene,1311050K0
Liquefied phenol,1311050P0
Triclosan,1311050U0
Halogenated phenols with phenol,1311050V0
Ferric chloride,1311060F0
Hamamelis,1311060H0
Hydrogen peroxide,1311060I0
Potassium permanganate,1311060Q0
Proflavine,1311060R0
Silver nitrate,1311060T0
Zinc sulfate,1311060Z0
Other desloughing agents,131107000
Hydrogen peroxide,1311070J0
Becaplermin,1311070K0
Streptokinase and streptodornase,1311070R0
Ster larvae,1311070S0
Other antiperspirant preparations,131200000
Aluminium chloride,1312000C0
Glycopyrronium bromide,1312000G0
Medicated stockings,1313010S0
Sucralfate,1313080S0
Other topical circulatory preparations,131400000
Heparinoid,1314000H0
Methyl nicotinate,1314000M0
Other miscellaneous topical preparations,131500000
Depigmenting agents,1315000G0
Other diagnostic vaccine preparations,140300000
Hepatitis A,140400030
Varicella vaccine live,140400050
"Haemophilus influenzae/diptheria,tetanus,pertussis vaccine",140400060
Hepatitis A/hepatitis B,140400070
Tick-borne encephalitis vaccine,1404000AA
Hepatitis A/typhoid vaccine,1404000AD
Haemophilus influenzae B/meningococcal C,1404000AF
Rotavirus,1404000AG
"Human papillomavirus (Type 6,11,16,18)",1404000AH
"Human papillomavirus (Type 16,18)",1404000AI
"Influenza H1N1(Split viron, inactivated, adjuvanted)",1404000AJ
"Influenza H1N1(Whole viron, vero, inactivated)",1404000AK
Shingles (H/Z),1404000AL
"Humpapvirus(Type 6,11,16,18,31,33,45,52,58)",1404000AM
Meningococcal A + C vaccine,1404000AN
Meningococcal C vaccine,1404000AP
Meningococcal B vaccine,1404000AQ
"Japanese encephalitis vaccine (Inactivated,adsorbed)",1404000AR
Japanese encephalitis vaccine (Imported),1404000AS
Coronavirus vaccine,1404000AT
Bacillus calmette-guerin (B.C.G.),1404000C0
Cholera,1404000E0
Diphtheria,1404000F0
Hepatitis B,1404000G0
Influenza,1404000H0
Pneumococcal,1404000L0
Poliomyelitis,1404000M0
Rabies,1404000N0
Rubella,1404000P0
Tetanus,1404000R0
Typhoid,1404000S0
Yellow fever,1404000U0
"Measles, mumps and rubella vaccine",1404000W0
Meningococcal A + C + W135 + Y vaccine,1404000X0
Haemophilus influenzae vaccine,1404000Y0
Other immunoglobulin preparations,140500000
Normal immunoglobulin (Gamma globulin),1405010A0
Tetanus immunoglobulin,1405020A0
Hepatitis B immunoglobulin,1405020B0
Varicella-zoster immunoglobulin,1405020C0
Rabies immunoglobulin,1405020D0
Anti-D (Rh-) immunoglobulin,1405030A0
Etomidate,1501010C0
Ketamine,1501010F0
Propofol,1501010L0
Thiopental sodium,1501010P0
Remifentanil hydrochloride,1501010Q0
Esketamine hydrochloride,1501010R0
Nitrous oxide,1501020R0
Sevoflurane,1501020V0
Atropine sulfate,1501030D0
Glycopyrronium bromide,1501030G0
Hyoscine hydrobromide,1501030H0
Midazolam hydrochloride,1501041T0
Ketorolac trometamol,1501042E0
Parecoxib sodium,1501042H0
Alfentanil hydrochloride,1501043A0
Fentanyl citrate,1501043F0
Atracurium besilate,1501050F0
Mivacurium chloride,1501050K0
Pancuronium bromide,1501050L0
Suxamethonium chloride,1501050P0
Vecuronium bromide,1501050V0
Cisatracurium,1501050W0
Rocuronium bromide,1501050X0
Neostigmine metilsulfate,1501060N0
Flumazenil,1501070F0
Naloxone hydrochloride,1501070G0
Dantrolene sodium,1501080B0
Tetracaine,1502010A0
Chloroprocaine hydrochloride,1502010AA
Mepivacaine hydrochloride,1502010AB
Bupivacaine hydrochloride,1502010C0
Cocaine hydrochloride,1502010F0
Cocaine,1502010G0
Lidocaine,1502010I0
Lidocaine hydrochloride,1502010J0
Ropivacaine hydrochloride,1502010R0
Prilocaine hydrochloride,1502010S0
Procaine hydrochloride,1502010U0
Levobupivacaine hydrochloride,1502010V0
Ziconotide acetate,1502010X0
Lidocaine and tetracaine,1502010Y0
Bupivacaine hydrochloride and fentanyl citrate,1502010Z0
Other x-ray contrast media preparations,180300000
Other x-ray contrast media preparations,1803000A0
Other diagnostic agent preparations,180400000
"Other alcohol, wine and spirit preparations",190100000
Other individually formulated bought in preparations,190201000
Other individually formulated prepared extemp preparations,190202000
Other homeopathic preparations,190203000
Other household and over the counter preparations,190205000
Other toiletry preparations,190205500
Acetylcysteine,1902070A0
Dicobalt edetate,1902070C0
Dimercaprol,1902070D0
Charcoal,1902070E0
Methionine,1902070M0
Naloxone hydrochloride,1902070Q0
Other single substance preparations,190400000
Other preparations,190500000
Other acid preparations,190600000
Other concentrated water preparations,190601000
Other extract preparations,190603000
Other oil preparations,190605000
Other tincture preparations,190606000
Other syrup preparations,190607000
Other base/diluent/suspending agent/stabiliser preparations,190700000
"Other colour, flavour and sweetening preparations",190800000
"Other disinfectant,preservative and sterilising preparations",190900000
Other cordial/soft drink preparations,191300000
Sterile water,1914010A0
Other purified water preparations,191402000
Other gas preparations,191500000
DUMMY CHEMICAL SUBSTANCE 200100001,200100001
DUMMY CHEMICAL SUBSTANCE 200100002,200100002
DUMMY CHEMICAL SUBSTANCE 200201001,200201001
DUMMY CHEMICAL SUBSTANCE 200202002,200202002
DUMMY CHEMICAL SUBSTANCE 200202003,200202003
DUMMY CHEMICAL SUBSTANCE 200202004,200202004
DUMMY CHEMICAL SUBSTANCE 200202005,200202005
DUMMY CHEMICAL SUBSTANCE 200202006,200202006
DUMMY CHEMICAL SUBSTANCE 200202007,200202007
DUMMY CHEMICAL SUBSTANCE 200202008,200202008
DUMMY CHEMICAL SUBSTANCE 200202009,200202009
DUMMY CHEMICAL SUBSTANCE 200202010,200202010
DUMMY CHEMICAL SUBSTANCE 200202011,200202011
DUMMY CHEMICAL SUBSTANCE 200300000,200300000
DUMMY CHEMICAL SUBSTANCE 200301000,200301000
DUMMY CHEMICAL SUBSTANCE 200301001,200301001
DUMMY CHEMICAL SUBSTANCE 200301002,200301002
DUMMY CHEMICAL SUBSTANCE 200301003,200301003
DUMMY CHEMICAL SUBSTANCE 200301004,200301004
DUMMY CHEMICAL SUBSTANCE 200301005,200301005
DUMMY CHEMICAL SUBSTANCE 200301006,200301006
DUMMY CHEMICAL SUBSTANCE 200301007,200301007
DUMMY CHEMICAL SUBSTANCE 200302000,200302000
DUMMY CHEMICAL SUBSTANCE 200302001,200302001
DUMMY CHEMICAL SUBSTANCE 200302002,200302002
DUMMY CHEMICAL SUBSTANCE 200303000,200303000
DUMMY CHEMICAL SUBSTANCE 200304000,200304000
DUMMY CHEMICAL SUBSTANCE 200304001,200304001
DUMMY CHEMICAL SUBSTANCE 200304002,200304002
DUMMY CHEMICAL SUBSTANCE 200304003,200304003
DUMMY CHEMICAL SUBSTANCE 200305000,200305000
DUMMY CHEMICAL SUBSTANCE 200305001,200305001
DUMMY CHEMICAL SUBSTANCE 200306000,200306000
DUMMY CHEMICAL SUBSTANCE 200306001,200306001
DUMMY CHEMICAL SUBSTANCE 200306002,200306002
DUMMY CHEMICAL SUBSTANCE 200306003,200306003
DUMMY CHEMICAL SUBSTANCE 200306004,200306004
DUMMY CHEMICAL SUBSTANCE 200306005,200306005
DUMMY CHEMICAL SUBSTANCE 200307000,200307000
DUMMY CHEMICAL SUBSTANCE 200308000,200308000
DUMMY CHEMICAL SUBSTANCE 200308001,200308001
DUMMY CHEMICAL SUBSTANCE 200309000,200309000
DUMMY CHEMICAL SUBSTANCE 200309001,200309001
DUMMY CHEMICAL SUBSTANCE 200309002,200309002
DUMMY CHEMICAL SUBSTANCE 200309003,200309003
DUMMY CHEMICAL SUBSTANCE 200309004,200309004
DUMMY CHEMICAL SUBSTANCE 200310000,200310000
DUMMY CHEMICAL SUBSTANCE 200311000,200311000
DUMMY CHEMICAL SUBSTANCE 200312000,200312000
DUMMY CHEMICAL SUBSTANCE 200312001,200312001
DUMMY CHEMICAL SUBSTANCE 200313000,200313000
DUMMY CHEMICAL SUBSTANCE 200314000,200314000
DUMMY CHEMICAL SUBSTANCE 200315000,200315000
DUMMY CHEMICAL SUBSTANCE 200316000,200316000
DUMMY CHEMICAL SUBSTANCE 200316001,200316001
DUMMY CHEMICAL SUBSTANCE 200317000,200317000
DUMMY CHEMICAL SUBSTANCE 200317001,200317001
DUMMY CHEMICAL SUBSTANCE 200317002,200317002
DUMMY CHEMICAL SUBSTANCE 200317003,200317003
DUMMY CHEMICAL SUBSTANCE 200318000,200318000
DUMMY CHEMICAL SUBSTANCE 200319000,200319000
DUMMY CHEMICAL SUBSTANCE 200320000,200320000
DUMMY CHEMICAL SUBSTANCE 200321000,200321000
DUMMY CHEMICAL SUBSTANCE 200321001,200321001
